epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,1810,0.54837,0.90822,1.08645,0.55096,0.58911,0.58404,0.51944,0.45861,1.04326,0.97494,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2406.96,0.54388,0.89361,1.08136,0.55662,0.58855,0.58463,0.52013,0.45857,1.04339,0.97476,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3002.34,0.5475,0.89284,1.08301,0.55414,0.58744,0.58494,0.52033,0.45879,1.0456,0.97582,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3601.11,0.54584,0.88668,1.08461,0.65668,0.57333,0.58417,0.51984,0.45599,1.05091,0.9735,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,4198.37,0.53873,0.87106,1.07718,0.66584,0.56806,0.5836,0.51949,0.45419,1.05575,0.97153,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,4791.26,0.54023,0.87164,1.07713,0.55004,0.59228,0.58233,0.51798,0.45471,1.05776,0.97179,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,5387.25,0.54062,0.87828,1.07998,0.55373,0.5884,0.58093,0.51647,0.4563,1.05836,0.97359,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,5982.1,0.54194,0.86826,1.07823,0.56049,0.58037,0.5792,0.51567,0.45542,1.0601,0.97315,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,6574.6,0.533,0.85937,1.0741,0.55448,0.5839,0.57868,0.51515,0.45489,1.06105,0.97227,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,7169.13,0.53618,0.85524,1.07496,0.55276,0.58316,0.57784,0.51521,0.45426,1.0624,0.97203,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,7763.07,0.5308,0.84896,1.07481,0.66934,0.55845,0.57734,0.51494,0.45463,1.06778,0.9728,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,8359.58,0.52986,0.83755,1.07083,0.67307,0.55528,0.57584,0.51385,0.45506,1.07334,0.97296,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,8952.6,0.52835,0.84003,1.06908,0.56764,0.56599,0.57488,0.51258,0.45515,1.07317,0.97334,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,9549.59,0.52356,0.83027,1.06589,0.56757,0.5674,0.57442,0.51229,0.45397,1.07388,0.97298,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,603.315,0.47914,0.71115,1.03713,0.56798,0.56672,0.57474,0.51284,0.45377,1.07543,0.97265,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,1206.78,0.49949,0.75472,1.04987,0.56594,0.5699,0.57427,0.51229,0.4533,1.07833,0.97153,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,1809.5,0.50426,0.77132,1.05272,0.56607,0.56592,0.57467,0.51266,0.45285,1.0793,0.97057,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,2416.67,0.50484,0.77849,1.05107,0.66325,0.55861,0.57475,0.51283,0.45178,1.0785,0.96924,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,3020.32,0.50868,0.78515,1.05576,0.66763,0.5557,0.57433,0.51206,0.45173,1.08076,0.96956,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3620.66,0.51128,0.78934,1.05887,0.67258,0.55077,0.57494,0.51217,0.45186,1.0811,0.97001,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,4220.84,0.50865,0.78382,1.05504,0.67722,0.54458,0.57415,0.51225,0.4516,1.08179,0.96985,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,4821.22,0.5117,0.78933,1.05785,0.56008,0.57226,0.57516,0.51249,0.45057,1.08312,0.96893,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,5425.65,0.51546,0.79869,1.06167,0.56145,0.5713,0.57488,0.5125,0.44991,1.0849,0.9682,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,6030.2,0.5183,0.80351,1.06253,0.5534,0.57771,0.57384,0.51159,0.44963,1.08563,0.96824,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,6639.44,0.51194,0.79656,1.06024,0.55382,0.58004,0.57324,0.51083,0.4484,1.08605,0.96698,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,7243.56,0.51597,0.79842,1.06051,0.55466,0.57761,0.57242,0.51007,0.44809,1.08725,0.96667,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,7849.07,0.51208,0.7951,1.05984,0.55527,0.57792,0.57256,0.50999,0.44828,1.08828,0.96712,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,8452.87,0.5127,0.79228,1.05816,0.64632,0.57402,0.57296,0.5107,0.44803,1.08933,0.96688,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,9059.4,0.51351,0.80024,1.05915,0.54875,0.57891,0.57239,0.51063,0.44792,1.08889,0.96693,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,667.864,0.44741,0.62298,1.0168,0.54589,0.57973,0.57129,0.50954,0.44803,1.0914,0.96707,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,1339.49,0.47164,0.67704,1.03112,0.63826,0.5775,0.57128,0.50903,0.44826,1.09316,0.96732,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,2009.65,0.47888,0.70431,1.03555,0.54923,0.57799,0.57105,0.50889,0.44849,1.09414,0.96737,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,2678.39,0.48428,0.71498,1.03772,0.54793,0.58184,0.5713,0.50881,0.44877,1.0957,0.96793,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,612.766,0.43798,0.59761,1.01079,0.54827,0.58143,0.57061,0.50815,0.44883,1.09818,0.96797,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,1215.26,0.46541,0.66174,1.02703,0.54962,0.57805,0.57003,0.50757,0.44908,1.09937,0.96852,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,1817.34,0.47358,0.68927,1.03332,0.54964,0.57762,0.56947,0.50705,0.44957,1.10028,0.96938,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,2421.09,0.47576,0.69886,1.03153,0.55015,0.57895,0.56986,0.50745,0.44935,1.10171,0.96911,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,3023.07,0.48456,0.72262,1.03862,0.5479,0.57903,0.56964,0.50708,0.4492,1.10412,0.96916,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,3623.21,0.48675,0.72852,1.04242,0.54577,0.58242,0.56908,0.50671,0.44942,1.10526,0.96959,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,4222.64,0.48758,0.72685,1.04002,0.54977,0.57553,0.56885,0.5067,0.44943,1.10697,0.96964,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,4822.31,0.49003,0.73099,1.0422,0.54724,0.57763,0.56861,0.50662,0.44909,1.10673,0.96948,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,5422.52,0.49668,0.7467,1.04855,0.64084,0.57594,0.56861,0.50641,0.44943,1.10725,0.96995,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,6022.64,0.49783,0.75544,1.04854,0.64845,0.57065,0.56854,0.50629,0.44956,1.10778,0.9703,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,6623.04,0.49297,0.74851,1.04646,0.65038,0.56925,0.56809,0.50594,0.4493,1.10822,0.97016,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,7222.5,0.49697,0.75052,1.04734,0.64749,0.57223,0.56823,0.50573,0.44928,1.10813,0.97023,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
